Angle,Radius,Value
116.25,0.1,2.36E-05
116.25,0.15,1.57E-05
116.25,0.2,1.18E-05
116.25,0.3,1.70E-05
116.25,0.4,1.21E-05
116.25,0.5,9.61E-06
116.25,0.6,8.05E-06
116.25,0.8,1.34E-05
116.25,1,1.14E-05
116.25,1.5,2.58E-05
116.25,2,2.57E-05
116.25,3,5.37E-05
116.25,4,5.70E-05
116.25,5,6.03E-05
116.25,6,6.32E-05
116.25,8,1.34E-04
116.25,10,1.40E-04
116.25,15,3.58E-04
116.25,20,3.37E-04
116.25,30,5.28E-04
116.25,40,3.23E-04
116.25,50,1.71E-04
116.25,60,7.41E-05
120,0.05,4.53E-05
120,0.1,1.93E-05
120,0.15,1.28E-05
120,0.2,9.62E-06
120,0.3,1.40E-05
120,0.4,1.02E-05
120,0.5,8.20E-06
120,0.6,6.94E-06
120,0.8,1.18E-05
120,1,1.04E-05
120,1.5,2.39E-05
120,2,2.39E-05
120,3,5.02E-05
120,4,5.36E-05
120,5,5.66E-05
120,6,5.95E-05
120,8,1.26E-04
120,10,1.32E-04
120,15,3.37E-04
120,20,3.17E-04
120,30,4.96E-04
120,40,3.00E-04
120,50,1.58E-04
120,60,6.78E-05
123.75,0.05,3.74E-05
123.75,0.1,1.57E-05
123.75,0.15,1.05E-05
123.75,0.2,7.93E-06
123.75,0.3,1.18E-05
123.75,0.4,8.68E-06
123.75,0.5,7.15E-06
123.75,0.6,6.05E-06
123.75,0.8,1.04E-05
123.75,1,9.48E-06
123.75,1.5,2.22E-05
123.75,2,2.22E-05
123.75,3,4.71E-05
123.75,4,5.02E-05
123.75,5,5.33E-05
123.75,6,5.59E-05
123.75,8,1.18E-04
123.75,10,1.24E-04
123.75,15,3.17E-04
123.75,20,2.98E-04
123.75,30,4.63E-04
123.75,40,2.79E-04
123.75,50,1.46E-04
123.75,60,6.18E-05
127.5,0.05,3.08E-05
127.5,0.1,1.29E-05
127.5,0.15,8.70E-06
127.5,0.2,6.61E-06
127.5,0.3,9.95E-06
127.5,0.4,7.46E-06
127.5,0.5,6.19E-06
127.5,0.6,5.44E-06
127.5,0.8,9.53E-06
127.5,1,8.63E-06
127.5,1.5,2.05E-05
127.5,2,2.07E-05
127.5,3,4.38E-05
127.5,4,4.70E-05
127.5,5,4.98E-05
127.5,6,5.24E-05
127.5,8,1.11E-04
